pair,date,high,low,open,close,volume
USDT_BTC,1609257600,26625.99,26204.99,26615.28,26430.84,120598568.5
USDT_BTC,1609261200,26628.98,26243.5,26428.1,26621.46,85858934.13
USDT_BTC,1609264800,26749.82,26565.01,26621.08,26591.29,70031517.51
USDT_BTC,1609268400,26943.89,26505.94,26591.38,26931.62,76799794.95
USDT_BTC,1609272000,27000,26743.42,26931.51,26989.63,73447938.71
USDT_BTC,1609275600,27200.87,26820.38,26990,26913.12,102063908.6
USDT_BTC,1609279200,27117,26893.78,26911.36,27048.32,42998370.24
USDT_BTC,1609282800,27410,26945.57,27048.34,27385,95653602.33
USDT_BTC,1609286400,27837.71,27374.87,27385,27630.74,186480432.2
USDT_BTC,1609290000,27720,27530.89,27630.75,27615.85,56326464.42
USDT_BTC,1609293600,28000,27498.92,27615.84,27999.14,123358844.3
USDT_BTC,1609297200,28239,27814.67,28000,28065.54,145474743.9
USDT_BTC,1609300800,28205.37,27722.22,28066.57,27897.49,114488719.9
USDT_BTC,1609304400,28159,27828.28,27897.49,28016.74,78434458.11
USDT_BTC,1609308000,28577.56,27933,28016.74,28380,188485478
USDT_BTC,1609311600,28598.74,28270,28379.99,28386.62,103430132.7
USDT_BTC,1609315200,28579.92,27559.23,28389.02,27732.3,217617014.3
USDT_BTC,1609318800,27898.63,27320,27732.86,27855.91,147355395.8
USDT_BTC,1609322400,28063.97,27742.43,27855.91,27850.02,85724106.21
USDT_BTC,1609326000,27947.92,27595.43,27850.02,27838.82,79894409.35
USDT_BTC,1609329600,27934.43,27577,27836.95,27858.73,68456108.48
USDT_BTC,1609333200,28167.21,27768.7,27858.72,27869.61,97640842.51
USDT_BTC,1609336800,28184.44,27871.05,27871.05,28182.98,71183311.07
USDT_BTC,1609340400,28291.82,27984.19,28182.98,28153.76,88139585.44
USDT_BTC,1609344000,28240.37,27887,28153.75,28153.78,84526703.84
USDT_BTC,1609347600,28309.88,28050,28153.77,28239.69,82177572.47
USDT_BTC,1609351200,28530,28239.68,28239.68,28510.86,113395838.9
USDT_BTC,1609354800,28900.05,28444,28510.86,28776.46,208100984
USDT_BTC,1609358400,28996,28603.24,28776.45,28785.67,123035553.1
USDT_BTC,1609362000,28980,28534.7,28785.67,28875.21,102246784
USDT_BTC,1609365600,28903.93,28571.84,28875.21,28703.88,55106704.61
